question_word,answer_word,guess_word,label
enormously,tremendously,appropriately,wrong
provisions,stipulations,interrelations,guess
haphazardly,randomly,linearly,guess
prominent,conspicuous,battered,wrong
zenith,pinnacle,decline,wrong
flawed,imperfect,crude,guess
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,stability,guess
concisely,succinctly,freely,guess
salutes,greetings,greetings,correct
solitary,alone,alert,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,frontier,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,incidental,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,research,wrong
discrepancies,differences,wavelengths,guess
prolific,productive,productive,correct
unmatched,unequaled,unrecognized,wrong
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,curved,wrong
highlight,accentuate,accentuate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,orally,guess
physician,doctor,chemist,wrong
essentially,basically,possibly,wrong
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,unconventionally,guess
annals,chronicles,trails,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,mastery,correct
concocted,devised,requested,guess
prospective,potential,particular,guess
generally,broadly,broadly,correct
sustained,prolonged,lowered,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,photograph,guess
primarily,chiefly,consistently,wrong
colloquial,conversational,incorrect,guess
resolved,settled,publicized,wrong
feasible,possible,permitted,wrong
expeditiously,rapidly,rapidly,guess
percentage,proportion,volume,wrong
terminated,ended,posed,wrong
uniform,alike,alike,correct
figure,solve,divide,wrong
sufficient,enough,physiological,wrong
fashion,manner,craze,wrong
marketed,sold,diluted,guess
bigger,larger,steadier,wrong
roots,origins,function,wrong
normally,ordinarily,permanently,wrong
