question_word,answer_word,guess_word,label
enormously,tremendously,appropriately,wrong
provisions,stipulations,stipulations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,completion,wrong
flawed,imperfect,lustrous,guess
urgently,desperately,conceivably,wrong
consumed,eaten,supplied,wrong
advent,coming,coming,guess
concisely,succinctly,freely,guess
salutes,greetings,privileges,wrong
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,rapidly,wrong
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,complicated,wrong
recognized,acknowledged,acknowledged,correct
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,boring,guess
debate,argument,competition,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,prickly,guess
levied,imposed,requested,wrong
deftly,skillfully,prudently,wrong
distribute,circulate,circulate,correct
discrepancies,differences,weights,guess
prolific,productive,productive,correct
unmatched,unequaled,unrecognized,wrong
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,wrong
highlight,accentuate,accentuate,guess
hastily,hurriedly,shrewdly,wrong
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,fittingly,guess
physician,doctor,chemist,wrong
essentially,basically,eagerly,wrong
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,exceptional,wrong
slowly,gradually,gradually,correct
built,constructed,proposed,wrong
tasks,jobs,shops,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,trails,guess
wildly,furiously,furiously,correct
hailed,acclaimed,judged,wrong
command,mastery,love,wrong
concocted,devised,requested,guess
prospective,potential,prominent,guess
generally,broadly,accurately,wrong
sustained,prolonged,refined,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,photograph,guess
primarily,chiefly,consistently,wrong
colloquial,conversational,recorded,guess
resolved,settled,publicized,wrong
feasible,possible,permitted,wrong
expeditiously,rapidly,repeatedly,guess
percentage,proportion,volume,wrong
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,craze,wrong
marketed,sold,sold,guess
bigger,larger,steadier,wrong
roots,origins,rituals,wrong
normally,ordinarily,haltingly,wrong
