question_word,answer_word,guess_word,label
enormously,tremendously,appropriately,wrong
provisions,stipulations,interpretations,guess
haphazardly,randomly,randomly,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,completion,wrong
flawed,imperfect,tiny,guess
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,financing,guess
concisely,succinctly,powerfully,guess
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,complicated,wrong
recognized,acknowledged,successful,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,relaxed,guess
debate,argument,competition,wrong
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,limitless,correct
showy,striking,striking,guess
levied,imposed,imposed,correct
deftly,skillfully,humorously,wrong
distribute,circulate,commercialize,wrong
discrepancies,differences,deposits,guess
prolific,productive,promising,wrong
unmatched,unequaled,unrecognized,wrong
peculiarly,uniquely,partly,wrong
hue,color,glare,wrong
hind,rear,curved,wrong
highlight,accentuate,imitate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,fittingly,guess
physician,doctor,chemist,wrong
essentially,basically,possibly,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,customarily,guess
annals,chronicles,songs,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,love,wrong
concocted,devised,requested,guess
prospective,potential,particular,guess
generally,broadly,accurately,wrong
sustained,prolonged,lowered,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,harshness,wrong
dissipate,disperse,photograph,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,misunderstood,guess
resolved,settled,forgotten,wrong
feasible,possible,permitted,wrong
expeditiously,rapidly,rapidly,guess
percentage,proportion,volume,wrong
terminated,ended,posed,wrong
uniform,alike,complex,wrong
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,craze,wrong
marketed,sold,diluted,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,periodically,wrong
